Timestamp,Date,Time,Hour,DayOfWeek,Close,Open,High,Low,Fibo_OK,Fibo_Score,Fibo_Level,MBB_OK,MBB_Score,MBB_BuyArrow,MBB_SellArrow,MBB_SRSI,Silva_OK,Silva_Score,Silva_BuyArrow,Silva_SellArrow,Silva_Middle,H1_OK,H1_Score,PZ_OK,PZ_Score,Candle_OK,Candle_Score,Total_Score,Direction,Setup_Valid,Rejection_Reason,Entry,SL,TP1,TP2,TP3,Trade_Executed,Result,Profit_Pips,Profit_Percent,Bars_In_Trade,Max_Drawdown_Pips,Max_Profit_Pips
1767975300,2026.01.09,16:15,16,5,4493.69,4489.30,4495.88,4483.68,YES,3.0,1.618,YES,3.0,YES,YES,65.4,NO,0.0,NO,NO,4469.07,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4493.69,4482.68,4515.71,4532.22,4548.74,YES,OPEN,0.0,0.00,0,0.0,0.0
1767974400,2026.01.09,16:00,16,5,4489.41,4482.91,4496.49,4480.62,YES,3.0,1.618,YES,3.0,YES,YES,64.0,NO,0.0,NO,NO,4468.93,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4489.41,4479.62,4508.99,4523.67,4538.36,YES,SL,-97.9,-0.22,3,105.2,70.8
1767973500,2026.01.09,15:45,15,5,4482.81,4487.09,4488.79,4478.89,YES,3.0,1.618,YES,3.0,YES,YES,64.0,NO,0.0,NO,NO,4468.77,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4482.81,4482.81,4492.65,4500.03,4507.41,YES,SL,0.0,0.00,2,39.2,136.8
1767972600,2026.01.09,15:30,15,5,4487.12,4472.85,4491.91,4458.12,YES,3.0,1.618,YES,3.0,YES,YES,64.0,NO,0.0,NO,NO,4468.60,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4487.12,4457.12,4547.12,4592.12,4637.12,YES,SL,-300.0,-0.67,50,310.6,47.9
1767971700,2026.01.09,15:15,15,5,4472.89,4467.65,4474.55,4462.08,YES,3.0,1.618,YES,3.0,YES,YES,49.7,NO,0.0,NO,NO,4468.43,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4472.89,4461.08,4496.51,4514.23,4531.94,YES,SL,-118.1,-0.26,1,147.7,190.2
1767970800,2026.01.09,15:00,15,5,4467.63,4465.92,4473.87,4463.67,YES,3.0,1.618,YES,3.0,YES,YES,47.8,NO,0.0,NO,NO,4468.26,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4467.63,4462.67,4477.55,4484.99,4492.43,YES,SL,-49.6,-0.11,1,55.5,69.2
1767969900,2026.01.09,14:45,14,5,4465.93,4465.97,4468.33,4463.68,YES,3.0,1.618,YES,3.0,YES,YES,47.8,NO,0.0,NO,NO,4468.09,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4465.93,4465.93,4472.43,4477.31,4482.18,YES,SL,0.0,0.00,2,22.6,79.4
1767969000,2026.01.09,14:30,14,5,4465.98,4467.63,4468.84,4460.86,YES,3.0,1.618,YES,3.0,YES,YES,47.9,NO,0.0,NO,NO,4467.92,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4465.98,4465.98,4478.22,4487.40,4496.58,YES,SL,0.0,0.00,17,51.2,144.6
1767968100,2026.01.09,14:15,14,5,4467.64,4474.05,4474.87,4467.01,YES,3.0,1.618,YES,3.0,YES,YES,50.2,NO,0.0,NO,NO,4467.74,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4467.64,4466.01,4470.90,4473.35,4475.79,YES,SL,-16.3,-0.04,1,67.8,12.0
1767967200,2026.01.09,14:00,14,5,4474.12,4475.40,4480.44,4472.16,YES,3.0,1.618,YES,3.0,YES,YES,53.7,NO,0.0,NO,NO,4467.57,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4474.12,4471.16,4480.04,4484.48,4488.92,YES,SL,-29.6,-0.07,1,71.1,7.5
1767966300,2026.01.09,13:45,13,5,4475.41,4470.59,4476.28,4468.84,YES,3.0,1.618,YES,3.0,YES,YES,53.7,NO,0.0,NO,NO,4467.39,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4475.41,4467.84,4490.55,4501.90,4513.26,YES,SL,-75.7,-0.17,6,82.1,50.3
1767965400,2026.01.09,13:30,13,5,4470.62,4470.77,4471.98,4469.15,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4467.21,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4470.62,4470.62,4475.56,4479.27,4482.97,YES,SL,0.0,0.00,2,17.8,56.6
1767964500,2026.01.09,13:15,13,5,4470.76,4472.23,4473.08,4470.47,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4467.03,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4470.76,4469.47,4473.34,4475.27,4477.21,YES,SL,-12.9,-0.03,1,16.1,12.2
1767963600,2026.01.09,13:00,13,5,4472.15,4472.66,4474.67,4469.91,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4466.84,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4472.15,4468.91,4478.63,4483.49,4488.35,YES,SL,-32.4,-0.07,3,49.5,25.2
1767962700,2026.01.09,12:45,12,5,4472.68,4469.13,4472.74,4467.20,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4466.65,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4472.68,4466.20,4485.64,4495.36,4505.08,YES,SL,-64.8,-0.14,10,88.4,49.7
1767961800,2026.01.09,12:30,12,5,4469.16,4469.18,4472.43,4468.15,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4466.46,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4469.16,4469.16,4473.18,4476.20,4479.21,YES,SL,0.0,0.00,8,19.6,84.9
1767960900,2026.01.09,12:15,12,5,4469.19,4471.93,4473.87,4468.95,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4466.27,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4469.19,4469.19,4471.67,4473.53,4475.39,YES,SL,0.0,0.00,2,10.4,46.8
1767960000,2026.01.09,12:00,12,5,4471.94,4471.11,4474.13,4469.80,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4466.08,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4471.94,4468.80,4478.22,4482.93,4487.64,YES,SL,-31.4,-0.07,6,36.5,57.1
1767959100,2026.01.09,11:45,11,5,4471.11,4471.73,4474.43,4470.56,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4465.88,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4471.11,4471.11,4474.21,4476.53,4478.86,YES,SL,0.0,0.00,5,28.2,65.4
1767958200,2026.01.09,11:30,11,5,4471.83,4473.99,4475.19,4471.53,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4465.68,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4471.83,4471.83,4474.43,4476.38,4478.33,YES,SL,0.0,0.00,2,12.7,33.6
1767957300,2026.01.09,11:15,11,5,4473.83,4474.81,4477.65,4473.18,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4465.48,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4473.83,4472.18,4477.13,4479.60,4482.08,YES,SL,-16.5,-0.04,1,23.0,13.6
1767956400,2026.01.09,11:00,11,5,4474.83,4468.41,4474.83,4468.29,YES,3.0,1.618,YES,3.0,YES,YES,53.3,NO,0.0,NO,NO,4465.28,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4474.83,4467.29,4489.91,4501.22,4512.53,YES,SL,-75.4,-0.17,3,109.9,28.2
1767955500,2026.01.09,10:45,10,5,4468.44,4466.80,4468.53,4463.84,YES,3.0,1.618,YES,3.0,YES,YES,52.1,NO,0.0,NO,NO,4465.08,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4468.44,4462.84,4479.64,4488.04,4496.44,YES,SL,-56.0,-0.13,16,102.4,89.6
1767954600,2026.01.09,10:30,10,5,4466.88,4473.21,4473.83,4465.39,YES,3.0,1.618,YES,3.0,YES,YES,52.1,NO,0.0,NO,NO,4464.87,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4466.88,4464.39,4471.86,4475.59,4479.33,YES,SL,-24.9,-0.06,1,30.4,16.5
1767953700,2026.01.09,10:15,10,5,4473.23,4474.46,4475.37,4472.43,YES,3.0,1.618,YES,3.0,YES,YES,59.0,NO,0.0,NO,NO,4464.66,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4473.23,4471.43,4476.83,4479.53,4482.23,YES,SL,-18.0,-0.04,1,78.4,6.0
1767952800,2026.01.09,10:00,10,5,4474.45,4470.17,4476.82,4466.32,YES,3.0,1.618,YES,3.0,YES,YES,59.0,NO,0.0,NO,NO,4464.45,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4474.45,4465.32,4492.71,4506.41,4520.10,YES,SL,-91.3,-0.20,12,99.2,29.5
1767951900,2026.01.09,09:45,9,5,4470.18,4471.64,4473.58,4469.53,YES,3.0,1.618,YES,3.0,YES,YES,59.0,NO,0.0,NO,NO,4464.24,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4470.18,4468.53,4473.48,4475.96,4478.43,YES,SL,-16.5,-0.04,1,38.6,66.4
1767951000,2026.01.09,09:30,9,5,4471.60,4470.26,4472.94,4468.41,YES,3.0,1.618,YES,3.0,YES,YES,59.5,NO,0.0,NO,NO,4464.02,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4471.60,4467.41,4479.98,4486.27,4492.55,YES,SL,-41.9,-0.09,7,55.1,58.0
1767950100,2026.01.09,09:15,9,5,4470.28,4471.41,4473.11,4468.64,YES,3.0,1.618,YES,3.0,YES,YES,59.5,NO,0.0,NO,NO,4463.80,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4470.28,4470.28,4475.56,4479.52,4483.48,YES,SL,0.0,0.00,6,41.9,71.2
1767949200,2026.01.09,09:00,9,5,4471.40,4474.07,4475.55,4470.70,YES,3.0,1.618,YES,3.0,YES,YES,59.5,NO,0.0,NO,NO,4463.58,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4471.40,4469.70,4474.80,4477.35,4479.90,YES,SL,-17.0,-0.04,1,27.6,17.1
1767948300,2026.01.09,08:45,8,5,4474.07,4475.13,4477.40,4472.76,YES,3.0,1.618,YES,3.0,YES,YES,59.5,NO,0.0,NO,NO,4463.35,YES,1.5,NO,0.0,NO,0.0,7.5,BUY,YES,SETUP VALIDO,4474.07,4471.76,4478.69,4482.15,4485.62,YES,SL,-23.1,-0.05,1,33.7,14.8
1767947400,2026.01.09,08:30,8,5,4475.09,4473.39,4475.77,4472.96,YES,3.0,1.618,YES,3.0,YES,YES,59.5,NO,0.0,NO,NO,4463.13,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4475.09,4471.96,4481.35,4486.05,4490.74,YES,SL,-31.3,-0.07,3,90.0,23.1
1767946500,2026.01.09,08:15,8,5,4473.38,4467.38,4473.42,4466.09,YES,3.0,1.618,YES,3.0,YES,YES,57.5,NO,0.0,NO,NO,4462.90,YES,1.5,NO,0.0,YES,1.0,8.5,BUY,YES,SETUP VALIDO,4473.38,4465.09,4489.96,4502.40,4514.83,YES,SL,-82.9,-0.19,5,88.5,23.9
