TradeNum,DateTime,Type,Entry,SL,TP,Result,Profit,Score,Month
1,2025.03.11 01:15,BUY,2890.00,2885.36,2896.97,WIN,6.97,11,2025-03
2,2025.03.12 13:45,BUY,2915.70,2909.51,2924.98,WIN,9.28,11,2025-03
3,2025.03.13 07:45,BUY,2941.37,2937.47,2947.22,WIN,5.85,12,2025-03
4,2025.03.13 08:00,BUY,2941.66,2937.20,2948.36,WIN,6.70,11,2025-03
5,2025.03.13 12:30,BUY,2942.21,2937.05,2949.95,WIN,7.74,11,2025-03
6,2025.03.13 13:15,BUY,2951.83,2945.96,2960.63,WIN,8.80,11,2025-03
7,2025.03.13 13:30,BUY,2950.13,2943.88,2959.50,WIN,9.37,11,2025-03
8,2025.03.13 16:45,SELL,2976.75,2986.20,2962.57,LOSS,-9.45,12,2025-03
9,2025.03.14 10:30,SELL,2993.13,2999.32,2983.84,LOSS,-6.19,11,2025-03
10,2025.03.19 09:30,BUY,3030.30,3023.79,3040.07,WIN,9.77,12,2025-03
11,2025.03.19 18:00,BUY,3037.43,3031.44,3046.41,WIN,8.98,11,2025-03
12,2025.03.20 01:30,SELL,3049.45,3053.37,3043.57,LOSS,-3.92,12,2025-03
13,2025.03.21 14:15,BUY,3009.44,3000.25,3023.22,WIN,13.78,12,2025-03
14,2025.03.24 09:15,SELL,3024.60,3029.52,3017.22,LOSS,-4.92,12,2025-03
15,2025.03.24 18:15,BUY,3007.43,3002.16,3015.34,WIN,7.91,12,2025-03
16,2025.03.27 13:45,BUY,3047.18,3039.10,3059.30,WIN,12.12,12,2025-03
17,2025.03.28 13:15,BUY,3075.48,3069.02,3085.17,WIN,9.69,11,2025-03
18,2025.03.28 18:00,BUY,3078.81,3071.88,3089.20,WIN,10.39,11,2025-03
19,2025.03.28 18:45,BUY,3079.82,3073.86,3088.76,WIN,8.94,11,2025-03
20,2025.03.31 01:00,BUY,3091.33,3085.18,3100.55,WIN,9.22,12,2025-03
21,2025.03.31 01:15,BUY,3091.79,3084.54,3102.67,WIN,10.88,11,2025-03
22,2025.03.31 06:15,SELL,3115.25,3123.41,3103.01,LOSS,-8.16,12,2025-03
23,2025.04.01 05:45,SELL,3130.55,3136.51,3121.62,LOSS,-5.96,11,2025-04
24,2025.04.01 17:00,BUY,3113.72,3103.67,3128.79,WIN,15.07,12,2025-04
25,2025.04.02 20:15,BUY,3129.35,3118.47,3145.66,WIN,16.31,11,2025-04
26,2025.04.03 12:45,BUY,3059.23,3041.92,3085.20,WIN,25.97,12,2025-04
27,2025.04.04 11:15,SELL,3109.25,3123.64,3087.66,WIN,21.59,12,2025-04
28,2025.04.04 12:00,SELL,3095.57,3114.20,3067.63,WIN,27.94,11,2025-04
29,2025.04.04 12:30,SELL,3070.86,3092.65,3038.17,WIN,32.69,11,2025-04
30,2025.04.04 16:15,BUY,3032.39,3009.55,3066.65,LOSS,-22.84,12,2025-04
31,2025.04.06 23:30,BUY,2999.55,2977.74,3032.26,LOSS,-21.81,12,2025-04
32,2025.04.07 14:15,SELL,3002.43,3022.91,2971.70,WIN,30.73,11,2025-04
33,2025.04.09 17:15,SELL,3063.74,3080.51,3038.58,LOSS,-16.77,11,2025-04
34,2025.04.14 13:15,BUY,3207.50,3193.91,3227.88,WIN,20.38,12,2025-04
35,2025.04.15 20:45,BUY,3231.95,3226.67,3239.87,WIN,7.92,11,2025-04
36,2025.04.16 23:45,SELL,3345.06,3351.97,3334.69,LOSS,-6.91,12,2025-04
37,2025.04.17 00:30,SELL,3345.30,3353.09,3333.62,LOSS,-7.79,11,2025-04
38,2025.04.17 16:45,BUY,3319.12,3303.54,3342.49,WIN,23.37,11,2025-04
39,2025.04.17 19:30,BUY,3320.61,3312.58,3332.65,WIN,12.04,11,2025-04
40,2025.04.22 07:00,SELL,3465.14,3480.74,3441.74,WIN,23.40,11,2025-04
41,2025.04.23 14:15,BUY,3288.65,3268.29,3319.18,WIN,30.53,12,2025-04
42,2025.04.24 02:15,SELL,3341.48,3356.28,3319.29,WIN,22.19,12,2025-04
43,2025.04.24 23:00,SELL,3354.20,3363.45,3340.33,WIN,13.87,12,2025-04
44,2025.04.30 11:00,BUY,3280.28,3268.37,3298.14,LOSS,-11.91,12,2025-04
45,2025.05.02 17:00,BUY,3235.10,3220.10,3257.60,WIN,22.50,12,2025-05
46,2025.05.05 11:15,SELL,3311.72,3322.71,3295.24,LOSS,-10.99,12,2025-05
47,2025.05.06 02:15,SELL,3366.42,3381.68,3343.53,LOSS,-15.26,12,2025-05
48,2025.05.06 22:00,SELL,3387.74,3398.55,3371.53,LOSS,-10.81,11,2025-05
49,2025.05.07 01:45,BUY,3375.47,3353.25,3408.80,WIN,33.33,12,2025-05
50,2025.05.08 02:30,SELL,3401.66,3413.94,3383.24,WIN,18.42,12,2025-05
51,2025.05.08 07:15,BUY,3346.53,3330.57,3370.47,LOSS,-15.96,12,2025-05
52,2025.05.09 19:00,SELL,3329.39,3336.28,3319.06,WIN,10.33,11,2025-05
53,2025.05.11 23:00,BUY,3285.45,3271.32,3306.65,LOSS,-14.13,12,2025-05
54,2025.05.14 11:15,SELL,3230.95,3238.52,3219.59,WIN,11.36,12,2025-05
55,2025.05.14 11:30,SELL,3220.00,3227.44,3208.84,WIN,11.16,11,2025-05
56,2025.05.14 13:15,BUY,3188.93,3175.32,3209.34,LOSS,-13.61,12,2025-05
57,2025.05.15 08:00,BUY,3151.23,3135.27,3175.17,WIN,23.94,11,2025-05
58,2025.05.15 17:15,SELL,3216.91,3226.46,3202.58,LOSS,-9.55,12,2025-05
59,2025.05.15 23:00,SELL,3242.75,3250.40,3231.28,WIN,11.47,12,2025-05
60,2025.05.16 12:00,BUY,3173.67,3159.04,3195.62,WIN,21.95,12,2025-05
61,2025.05.18 23:15,SELL,3231.69,3243.15,3214.50,LOSS,-11.46,12,2025-05
62,2025.05.29 00:00,BUY,3261.30,3247.37,3282.19,LOSS,-13.93,12,2025-05
63,2025.06.04 12:15,BUY,3355.65,3347.57,3367.78,WIN,12.13,12,2025-06
64,2025.06.05 12:45,SELL,3381.55,3392.07,3365.77,WIN,15.78,11,2025-06
65,2025.06.05 16:30,BUY,3353.81,3339.64,3375.06,WIN,21.25,12,2025-06
66,2025.06.06 14:30,BUY,3325.97,3311.19,3348.13,LOSS,-14.78,12,2025-06
67,2025.06.10 02:30,BUY,3309.16,3301.19,3321.12,WIN,11.96,12,2025-06
68,2025.06.11 18:00,BUY,3345.41,3336.63,3358.58,WIN,13.17,11,2025-06
69,2025.06.12 08:00,BUY,3358.72,3349.07,3373.19,WIN,14.47,12,2025-06
70,2025.06.13 13:30,SELL,3436.87,3446.37,3422.61,WIN,14.26,12,2025-06
71,2025.06.16 00:30,SELL,3436.15,3446.32,3420.89,WIN,15.26,11,2025-06
72,2025.06.16 14:00,BUY,3391.65,3379.79,3409.44,LOSS,-11.86,12,2025-06
73,2025.06.18 02:30,BUY,3379.15,3372.50,3389.12,WIN,9.97,12,2025-06
74,2025.06.18 20:30,BUY,3368.85,3358.27,3384.73,WIN,15.88,12,2025-06
75,2025.06.19 06:30,BUY,3357.28,3349.50,3368.95,WIN,11.67,12,2025-06
76,2025.06.19 07:30,BUY,3365.75,3355.97,3380.42,LOSS,-9.78,11,2025-06
77,2025.06.20 03:15,BUY,3354.52,3346.56,3366.46,LOSS,-7.96,12,2025-06
78,2025.06.20 07:00,BUY,3351.83,3344.48,3362.86,LOSS,-7.35,11,2025-06
79,2025.06.20 13:00,BUY,3356.93,3350.33,3366.83,WIN,9.90,11,2025-06
80,2025.06.22 22:45,SELL,3375.70,3383.93,3363.35,WIN,12.35,12,2025-06
81,2025.06.23 17:15,SELL,3381.57,3391.55,3366.59,WIN,14.98,11,2025-06
82,2025.06.23 18:30,SELL,3378.38,3387.51,3364.69,WIN,13.69,11,2025-06
83,2025.06.23 19:30,SELL,3376.25,3385.33,3362.64,WIN,13.61,11,2025-06
84,2025.06.26 09:00,SELL,3340.39,3346.13,3331.78,WIN,8.61,11,2025-06
85,2025.07.02 22:45,SELL,3355.20,3359.18,3349.24,WIN,5.96,12,2025-07
86,2025.07.02 23:00,SELL,3350.26,3354.84,3343.39,WIN,6.87,11,2025-07
87,2025.07.03 12:45,BUY,3327.78,3317.12,3343.77,WIN,15.99,12,2025-07
88,2025.07.07 12:30,BUY,3309.42,3301.58,3321.17,WIN,11.75,11,2025-07
89,2025.07.08 15:30,BUY,3298.04,3287.78,3313.43,LOSS,-10.26,12,2025-07
90,2025.07.14 14:45,BUY,3348.29,3339.65,3361.25,WIN,12.96,12,2025-07
91,2025.07.16 14:30,BUY,3337.82,3330.03,3349.50,WIN,11.68,12,2025-07
92,2025.07.16 14:45,BUY,3348.40,3339.01,3362.48,WIN,14.08,11,2025-07
93,2025.07.16 15:30,SELL,3343.15,3357.98,3320.91,WIN,22.24,12,2025-07
94,2025.07.17 14:00,BUY,3330.03,3321.16,3343.33,WIN,13.30,11,2025-07
95,2025.07.21 15:00,SELL,3399.90,3407.57,3388.39,WIN,11.51,12,2025-07
96,2025.07.22 07:30,BUY,3387.38,3383.53,3393.16,WIN,5.78,12,2025-07
97,2025.07.22 08:00,BUY,3388.34,3384.32,3394.38,WIN,6.04,11,2025-07
98,2025.07.22 10:15,BUY,3387.47,3383.85,3392.90,WIN,5.43,11,2025-07
99,2025.07.22 10:30,BUY,3386.89,3383.26,3392.33,WIN,5.44,11,2025-07
100,2025.07.22 11:00,BUY,3387.35,3383.80,3392.68,WIN,5.33,11,2025-07
101,2025.07.22 11:30,BUY,3391.17,3387.64,3396.46,WIN,5.29,11,2025-07
102,2025.07.24 13:00,BUY,3358.90,3352.35,3368.72,WIN,9.82,12,2025-07
103,2025.07.28 14:00,BUY,3311.86,3303.84,3323.89,WIN,12.03,12,2025-07
104,2025.07.30 07:15,SELL,3329.58,3334.39,3322.37,WIN,7.21,11,2025-07
105,2025.07.30 10:15,SELL,3328.44,3334.08,3319.97,WIN,8.47,11,2025-07
106,2025.07.30 10:30,SELL,3328.34,3333.48,3320.63,WIN,7.71,11,2025-07
107,2025.07.30 10:45,SELL,3326.93,3331.71,3319.77,LOSS,-4.78,11,2025-07
108,2025.07.30 11:00,SELL,3328.29,3333.09,3321.09,WIN,7.20,11,2025-07
109,2025.07.30 11:30,SELL,3330.68,3335.34,3323.69,WIN,6.99,11,2025-07
110,2025.07.30 12:00,SELL,3327.56,3332.94,3319.50,WIN,8.06,11,2025-07
111,2025.07.30 12:15,SELL,3323.60,3329.07,3315.39,WIN,8.21,11,2025-07
112,2025.07.30 12:30,SELL,3313.13,3318.95,3304.40,WIN,8.73,11,2025-07
113,2025.07.30 16:00,BUY,3295.16,3285.04,3310.34,LOSS,-10.12,12,2025-07
114,2025.08.01 08:45,BUY,3294.95,3289.42,3303.24,WIN,8.29,11,2025-08
115,2025.08.01 13:30,SELL,3341.81,3353.76,3323.88,LOSS,-11.95,12,2025-08
116,2025.08.05 12:00,BUY,3360.53,3355.10,3368.68,WIN,8.15,12,2025-08
117,2025.08.05 12:15,BUY,3363.65,3357.66,3372.64,WIN,8.99,11,2025-08
118,2025.08.05 16:00,SELL,3382.30,3390.54,3369.94,WIN,12.36,12,2025-08
119,2025.08.07 08:00,SELL,3374.25,3381.99,3362.64,LOSS,-7.74,11,2025-08
120,2025.08.07 22:00,SELL,3391.81,3399.12,3380.84,LOSS,-7.31,11,2025-08
121,2025.08.08 18:00,BUY,3394.11,3383.09,3410.63,LOSS,-11.02,11,2025-08
122,2025.08.08 19:15,SELL,3396.00,3408.55,3377.17,WIN,18.83,11,2025-08
123,2025.08.08 20:00,SELL,3395.20,3408.13,3375.80,WIN,19.40,11,2025-08
124,2025.08.10 22:00,SELL,3394.05,3408.65,3372.15,WIN,21.90,11,2025-08
125,2025.08.10 23:00,SELL,3394.05,3402.48,3381.41,WIN,12.64,11,2025-08
126,2025.08.11 17:30,BUY,3357.45,3349.34,3369.61,LOSS,-8.11,11,2025-08
127,2025.08.14 00:45,SELL,3368.80,3372.95,3362.57,WIN,6.23,12,2025-08
128,2025.08.14 02:45,SELL,3359.75,3365.72,3350.79,LOSS,-5.97,11,2025-08
129,2025.08.14 08:15,BUY,3346.20,3338.94,3357.09,WIN,10.89,12,2025-08
130,2025.08.18 00:00,BUY,3340.06,3335.20,3347.35,WIN,7.29,11,2025-08
131,2025.08.18 05:00,SELL,3351.01,3355.54,3344.22,WIN,6.79,12,2025-08
132,2025.08.19 00:00,BUY,3337.12,3333.61,3342.38,LOSS,-3.51,11,2025-08
