TradeNum,DateTime,Type,Entry,SL,TP,Result,Profit,BaseScore,FinalScore,ADX,EMA200_Aligned,GoldenHour,Month
1,2024.01.03 08:15,SELL,2061.53,2064.27,2057.42,WIN,4.11,12,14,23.9,YES,NO,2024-01
2,2024.01.03 08:45,SELL,2058.20,2061.16,2053.75,WIN,4.45,12,15,25.2,YES,NO,2024-01
3,2024.01.03 09:00,SELL,2058.69,2061.68,2054.21,WIN,4.48,12,15,27.9,YES,NO,2024-01
4,2024.01.03 09:30,SELL,2056.70,2060.02,2051.71,WIN,4.99,12,15,34.6,YES,NO,2024-01
5,2024.01.03 10:00,SELL,2052.91,2056.33,2047.78,WIN,5.13,12,15,40.0,YES,NO,2024-01
6,2024.01.03 10:15,SELL,2054.69,2058.29,2049.29,WIN,5.40,12,15,43.7,YES,NO,2024-01
7,2024.01.03 11:00,SELL,2052.28,2056.02,2046.67,WIN,5.61,12,15,48.7,YES,NO,2024-01
8,2024.01.03 11:15,SELL,2049.09,2052.94,2043.32,WIN,5.77,12,15,50.9,YES,NO,2024-01
9,2024.01.03 11:30,SELL,2047.49,2051.63,2041.28,WIN,6.21,12,15,53.9,YES,NO,2024-01
10,2024.01.03 11:45,SELL,2045.39,2049.37,2039.42,WIN,5.97,12,15,57.0,YES,NO,2024-01
11,2024.01.03 12:00,SELL,2043.47,2047.81,2036.97,LOSS,-4.34,12,16,60.3,YES,YES,2024-01
12,2024.01.03 12:15,SELL,2045.98,2050.55,2039.13,WIN,6.85,12,16,63.3,YES,YES,2024-01
13,2024.01.03 12:45,SELL,2045.24,2050.15,2037.88,WIN,7.36,12,16,62.7,YES,YES,2024-01
14,2024.01.03 13:00,SELL,2042.71,2047.43,2035.64,WIN,7.07,12,16,60.3,YES,YES,2024-01
15,2024.01.03 13:15,SELL,2041.82,2046.86,2034.26,WIN,7.56,12,16,59.8,YES,YES,2024-01
16,2024.01.03 13:30,SELL,2040.94,2046.18,2033.08,WIN,7.86,12,16,59.4,YES,YES,2024-01
17,2024.01.03 13:45,SELL,2037.23,2042.47,2029.36,LOSS,-5.24,12,16,60.6,YES,YES,2024-01
