TradeNum,DateTime,Type,Entry,SL,TP,Result,Profit,BaseScore,FinalScore,ADX,EMA200_Aligned,GoldenHour,Month
1,2024.01.03 08:15,SELL,2061.53,2064.27,2057.42,WIN,4.11,12,14,23.9,YES,NO,2024-01
2,2024.01.03 12:30,BUY,2045.60,2040.86,2052.70,LOSS,-4.74,10,11,66.0,NO,YES,2024-01
3,2024.01.03 14:45,BUY,2040.56,2034.25,2050.03,LOSS,-6.31,13,15,65.1,NO,YES,2024-01
4,2024.01.03 15:00,BUY,2037.34,2030.09,2048.21,WIN,10.87,10,10,60.0,NO,NO,2024-01
5,2024.01.03 16:00,BUY,2033.95,2026.38,2045.31,WIN,11.36,10,10,48.9,NO,NO,2024-01
6,2024.01.03 16:15,BUY,2032.79,2025.30,2044.03,WIN,11.24,10,10,46.5,NO,NO,2024-01
7,2024.01.03 17:00,BUY,2032.66,2025.75,2043.02,WIN,10.36,10,10,49.3,NO,NO,2024-01
8,2024.01.03 17:45,BUY,2032.88,2026.59,2042.31,WIN,9.43,9,9,49.1,NO,NO,2024-01
9,2024.01.03 18:15,BUY,2035.26,2029.65,2043.68,WIN,8.42,9,9,38.5,NO,NO,2024-01
10,2024.01.03 19:15,BUY,2037.94,2033.51,2044.59,WIN,6.65,11,11,25.1,NO,NO,2024-01
11,2024.01.05 13:45,BUY,2039.63,2034.57,2047.23,WIN,7.60,12,13,20.7,NO,YES,2024-01
12,2024.01.05 15:15,SELL,2060.57,2070.10,2046.28,WIN,14.29,10,10,27.6,NO,NO,2024-01
13,2024.01.05 15:45,SELL,2055.64,2066.00,2040.10,WIN,15.54,13,14,28.6,NO,NO,2024-01
14,2024.01.05 16:15,SELL,2050.28,2061.45,2033.53,WIN,16.75,10,9,24.9,NO,NO,2024-01
15,2024.01.08 12:00,BUY,2019.99,2016.15,2025.75,WIN,5.76,10,11,39.7,NO,YES,2024-01
16,2024.01.08 12:45,BUY,2020.79,2016.69,2026.94,WIN,6.15,10,11,41.1,NO,YES,2024-01
17,2024.01.08 13:15,BUY,2022.30,2017.78,2029.07,WIN,6.77,10,11,33.4,NO,YES,2024-01
18,2024.01.08 13:30,BUY,2018.90,2014.15,2026.03,WIN,7.13,10,11,31.5,NO,YES,2024-01
19,2024.01.08 14:00,BUY,2020.20,2015.08,2027.88,WIN,7.68,10,11,31.6,NO,YES,2024-01
20,2024.01.08 14:30,BUY,2026.31,2020.72,2034.69,WIN,8.38,12,14,29.0,NO,YES,2024-01
21,2024.01.10 10:15,SELL,2035.77,2039.34,2030.42,WIN,5.35,10,10,48.3,NO,NO,2024-01
22,2024.01.10 18:45,BUY,2021.01,2017.55,2026.20,WIN,5.19,9,9,43.3,NO,NO,2024-01
23,2024.01.10 19:15,BUY,2023.76,2020.45,2028.73,WIN,4.97,12,13,47.8,NO,NO,2024-01
24,2024.01.11 13:30,SELL,2029.34,2033.88,2022.54,LOSS,-4.54,12,15,24.3,YES,YES,2024-01
25,2024.01.11 16:45,BUY,2016.38,2006.81,2030.74,WIN,14.36,10,9,23.5,NO,NO,2024-01
26,2024.01.11 18:00,BUY,2015.02,2008.62,2024.62,WIN,9.60,9,9,30.8,NO,NO,2024-01
27,2024.01.11 18:45,BUY,2020.88,2015.41,2029.09,WIN,8.21,9,9,31.1,NO,NO,2024-01
28,2024.01.11 19:00,BUY,2024.37,2018.80,2032.72,WIN,8.35,9,9,28.8,NO,NO,2024-01
29,2024.01.12 12:15,SELL,2048.93,2052.63,2043.38,LOSS,-3.70,10,11,41.5,NO,YES,2024-01
30,2024.01.12 14:00,SELL,2057.64,2063.07,2049.50,WIN,8.14,10,11,32.7,NO,YES,2024-01
31,2024.01.12 14:45,SELL,2058.75,2064.98,2049.40,WIN,9.35,10,11,36.6,NO,YES,2024-01
32,2024.01.12 15:15,SELL,2052.11,2058.83,2042.03,WIN,10.08,10,10,36.9,NO,NO,2024-01
33,2024.01.12 15:30,SELL,2053.59,2060.16,2043.73,WIN,9.86,10,10,32.9,NO,NO,2024-01
34,2024.01.16 17:30,BUY,2025.25,2019.37,2034.07,LOSS,-5.88,10,10,29.9,NO,NO,2024-01
35,2024.01.16 18:00,BUY,2026.63,2020.98,2035.10,LOSS,-5.65,9,9,36.4,NO,NO,2024-01
